"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"J1,J2","2","Conn_01x15_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"J3,J4,J5","3","Conn_01x03_Pin","","","","Connector_PinSocket_1.00mm:PinSocket_1x03_P1.00mm_Vertical",""
